ARA,L10SLA,WSG,MaxH,L10SM
Rare,,1.715273442,0.07632883,0.482555735
Rare,,0.300844011,-0.311290657,0.408938579
Rare,,0.309671213,0.552942694,0.332215119
Rare,-2.166936108,1.901755833,-0.058502687,0.254975468
Rare,1.761633753,-1.031835746,2.59110092,0.10382602
Rare,-0.245406747,-0.75600034,0.396161815,-0.838129259
Rare,,-1.32811681,0.64140084,-0.494128512
Rare,-0.131895871,-1.321818199,-0.309352139,-0.86807047
Rare,,-1.100038022,-0.099240223,-0.86807047
Rare,,0.074809313,-1.328348765,-1.617322811
Rare,,0.384222417,-1.160423801,-2.284039448
Rare,,-1.548323943,-0.042824645,
Rare,-1.426895293,0.704944597,-0.2309617,0.313089151
Rare,0.446937033,-0.015700667,0.255059024,0.067598792
Rare,,0.166143821,0.239380936,0.864739023
Rare,-0.243016047,0.403904396,0.239380936,0.292196775
Rare,0.073551948,-0.987889286,-0.901356721,-0.189292882
Rare,-1.846194026,-0.041815576,-0.356384283,-1.617322811
Rare,,0.704944597,-0.516302899,0.229255059
Rare,0.514171736,0.70637205,1.869636918,0.316222019
Rare,-0.26680653,1.912065577,1.867048085,-0.091182777
Rare,2.315083712,-1.496031166,1.10167584,-0.345897977
Rare,0.457372582,0.286622781,-0.951407675,1.206938096
Rare,,-0.694044771,1.02328533,0.781118722
Rare,,0.460070228,-0.951407675,0.23469788
Rare,0.086351957,1.477872735,-0.622913897,-0.114901179
Rare,,-1.046157944,0.678406886,-0.271010451
Rare,-0.731574519,-0.897987666,0.318577503,-0.278306742
Rare,1.194966551,0.166143821,-0.544523457,0.854111995
Rare,,-0.694044771,-0.544523457,0.781118722
Rare,,-0.453477084,0.525220224,0.712794776
Rare,,0.720112007,0.019887706,0.636836481
Rare,,0.720112007,-0.654270073,0.636836481
Rare,,-0.743079371,0.239380936,0.581310655
Rare,,-0.629085321,0.302093288,0.469037241
Rare,0.033199664,0.529834343,0.239380936,0.427700093
Rare,,1.607871879,0.615655045,0.355879564
Rare,-1.774613919,0.252052231,-0.200476704,0.293119978
Rare,,1.427360421,-1.003723174,0.276836072
Rare,,-0.968994896,-0.680097424,0.151627465
Rare,-1.060677709,0.999601361,0.552942694,0.153494874
Rare,-2.618178736,0.232121136,-0.2309617,0.128887555
Rare,-0.531869821,3.506013338,-0.042824645,-0.169438424
Rare,,-0.836172877,-1.136450809,-0.213214245
Rare,-0.740274797,1.715273442,-0.403420667,-0.215414441
Rare,,-0.021955383,-1.036815417,-0.535365209
Rare,,-0.319766953,0.086616973,-0.499100807
Rare,1.377542321,-0.831694736,0.082600058,-0.502934297
Rare,,-0.831694736,-0.951407675,-0.502934297
Rare,,0.204249581,0.239380936,2.385969249
Rare,,1.235260007,0.082600058,2.002050071
Rare,,-1.238995061,-2.112292702,1.824415667
Rare,-0.255865516,0.435544206,-0.01146847,1.809672944
Rare,,-0.347723758,0.866505259,1.532618956
Rare,,1.230585622,-0.168249343,1.311994232
Rare,,1.230585622,-1.203003145,1.311994232
Rare,,1.637711229,-0.200476704,1.269319134
Rare,-1.886092221,1.715273442,-0.998750311,1.184227749
Rare,,-0.225140168,-0.76401668,1.233124328
Rare,-1.850642036,0.637660918,-0.168249343,1.472351199
Rare,,-0.278366778,-1.138476971,0.802785134
Rare,,-0.799813196,0.239380936,0.781118722
Rare,-2.45120352,-0.633033616,-1.422494024,0.779099067
Rare,,-0.633033616,-1.673338097,0.779099067
Rare,,-0.268264311,0.519258114,0.751569138
Rare,-0.416496352,1.243745378,-0.309352139,0.733501288
Rare,,0.00318694,-2.269113124,0.716517669
Rare,0.46754569,1.772627101,0.239380936,0.636836481
Rare,,0.720112007,0.760381295,0.636836481
Rare,,0.720112007,-1.672413027,0.636836481
Rare,0.958777202,-2.384236361,0.4914175,0.614214563
Rare,0.788634114,0.684739594,-0.96778779,0.532720686
Rare,1.748659727,0.401869157,0.545122684,0.528695084
Rare,,1.512023343,-0.228294504,0.486765975
Rare,,0.772359764,-1.037059956,0.482555735
Rare,,-0.629085321,-0.152571261,0.469037241
Rare,-0.838006178,0.216319638,-1.178307151,0.395785037
Rare,-0.018516496,0.327784049,-0.309352139,0.365740484
Rare,-0.875439737,-0.237956771,-0.01146847,0.361819076
Rare,-3.484269863,-0.724984879,-0.544523457,0.350791625
Rare,,-0.42316954,0.944894891,0.321877774
Rare,,0.637660918,0.631333133,0.311454939
Rare,0.1516215,1.427360421,-1.641989339,0.276836072
Rare,,-0.788045138,0.631333133,0.263276503
Rare,-1.200020174,-1.072032838,-1.484956774,0.232818872
Rare,,1.445870161,-1.641989339,-0.105310349
Rare,,-0.724036067,-1.641989339,-0.188392197
Rare,-0.672359194,-0.056099706,-0.544523457,-0.192424127
Rare,-1.560299234,0.152084187,-0.544523457,-0.192424127
Rare,,0.152084187,-1.01486119,-0.192424127
Rare,0.442200637,-0.22018376,0.458881923,-0.271079481
Rare,0.263472785,0.671270298,-1.077578445,-0.298142712
Rare,,0.199818864,-1.368491401,-0.368740709
Rare,,-0.831694736,-1.641989339,-0.502934297
Rare,0.071635907,2.201763851,-0.276351801,-0.665964426
Rare,,-1.238995061,-0.549447464,-0.86807047
Rare,,0.375602619,,-1.298663535
Rare,,-0.638689852,-1.01486119,-1.567021812
Rare,0.726840861,-1.382871188,-1.328348765,-1.617322811
Rare,-0.955624103,1.300960741,-0.96778779,-1.782170866
Rare,,-0.599914199,1.02328533,-1.882661732
Rare,,,,
Rare,,1.230585622,-0.262317876,1.311994232
Rare,,0.204249581,0.788119897,0.80364265
Rare,,1.203165821,1.556340318,0.761875902
Rare,1.297063799,0.242301231,0.48165229,0.4142301
Rare,2.230021016,-1.854359116,1.838026983,0.366772102
Rare,1.327444975,1.412120622,-1.610604073,0.311677531
Rare,0.115152101,0.166143821,-0.361743203,0.306774462
Rare,1.346333883,0.442279216,1.838026983,0.08401166
Rare,1.813120609,1.737646093,-0.200476704,-0.074982834
Rare,1.155503589,1.513145811,-1.171646973,-0.213394498
Rare,0.075803177,-0.654640951,-0.450454855,-0.286870398
Rare,,-1.238995061,-1.250037412,-0.86807047
Rare,1.399570076,-2.43805996,-0.709859041,-0.907721762
Rare,0.314455457,-1.06299486,0.239380936,-1.625435142
Rare,,-0.544399716,-0.951407675,-1.907299441
Rare,0.446002205,0.204249581,-0.983509913,-2.137426707
Rare,-0.654663924,1.082105144,0.239380936,-2.249533534
Rare,0.444578154,1.573760857,0.756757836,1.382186547
Rare,0.590053522,2.462845921,-1.01486119,1.311994232
Rare,,-0.216679647,0.070057587,0.86479274
Rare,1.273064079,-1.548323943,-0.544523457,0.356455453
Rare,0.157345476,0.17624633,0.929216803,0.308965078
Rare,0.546693782,1.401230932,1.838026983,0.254992939
Rare,,0.678005396,-0.082019865,0.195755725
Rare,1.859662263,0.55003944,-0.099240223,0.195735132
Rare,0.588103849,1.077117197,-0.51254307,0.126934567
Rare,,0.965608812,0.552942694,0.108181663
Rare,-1.23522973,-0.074632784,0.396161815,-0.285060415
Rare,-0.464035945,1.412120622,1.242915348,-0.376265565
Rare,1.437148227,1.080285604,0.239380936,-1.062934237
Rare,2.235521494,-3.100335923,-0.924873869,-1.536944562
Rare,,-0.035846783,-0.701304315,-1.597209819
Rare,,0.704944597,-0.701304315,1.371908801
Rare,-0.548454841,-0.689026646,1.02328533,0.85175692
Rare,,0.720112007,-0.2309617,0.865516093
Rare,,-0.694044771,-0.606407055,0.781118722
Rare,0.416764584,-0.468263037,-1.422494024,0.779099067
Rare,,-0.633033616,-1.328348765,0.779099067
Rare,,-0.01317815,-1.90293697,0.712794776
Rare,,-1.062946102,-2.037077423,0.671315946
Rare,0.016673615,0.460070228,0.302093288,0.23469788
Rare,,0.460070228,-0.216711853,0.23469788
