ARA,L10SLA,WSG,MaxH,L10SM
insensitive,0.022892077,0.756043382,1.337600621,1.804993239
insensitive,-0.05856897,-0.434139794,0.657452045,0.461928984
insensitive,0.965836085,0.102946233,0.552942694,0.861524517
insensitive,-0.633014933,-0.645424862,1.02328533,0.108321888
insensitive,-1.633623276,-0.028052937,0.763385349,0.100595893
insensitive,1.451770102,-0.763959701,1.04220222,0.887203042
insensitive,0.064020467,0.570244401,-0.983509913,0.636836481
insensitive,0.88019762,-0.237956771,0.458881923,0.626722893
insensitive,-0.268369184,0.252183609,0.239380936,0.561062978
insensitive,-0.217512496,0.700015726,-0.077314641,0.525325229
insensitive,0.24642522,1.159560382,0.239380936,0.537987754
insensitive,,1.024867097,0.286954933,0.505126231
insensitive,0.215691983,1.168240138,0.239380936,0.371182593
insensitive,0.244494257,-0.515178666,0.239380936,0.310811251
insensitive,0.012184606,1.438162662,1.797341711,0.251483164
insensitive,0.868893296,0.571241833,0.239380936,0.156320088
insensitive,0.732077171,0.103283726,0.763385349,0.08401166
insensitive,1.011721994,-0.323828146,0.078680536,0.06591253
insensitive,1.816482473,1.071637409,1.493628008,-0.148076851
insensitive,0.98170816,-1.349667151,1.838545899,-0.197188418
insensitive,0.127366982,1.075370134,-0.409691902,-0.206865331
insensitive,-1.502998317,0.204249581,-0.497489194,-0.069300839
insensitive,0.413769576,-1.456372876,0.621689988,-0.069142979
insensitive,-0.760397468,-0.579885922,0.239380936,-0.127672934
insensitive,0.886580331,-0.883664271,1.368203278,-0.184288352
insensitive,-0.927018251,1.222229427,0.239380936,-0.211377037
insensitive,1.842003269,-0.939071288,-0.544523457,-0.48177252
insensitive,-0.062811734,0.374929118,-0.183844421,-0.492798011
insensitive,-0.217150483,-0.316082884,-0.054739992,-0.505899151
insensitive,0.436695666,0.182232404,-0.042824645,-0.748159172
insensitive,-0.067537344,-0.922384971,0.490230349,-1.175876818
insensitive,-1.24002972,-1.366070908,0.239380936,-2.526317499
insensitive,,-0.56383297,0.2864152,-2.137305042
insensitive,-0.774164383,1.243745378,0.568620783,-0.2025403
insensitive,0.051847725,0.204249581,-0.073678466,0.652714943
insensitive,-0.428464188,2.524364659,-1.516564906,0.093684753
insensitive,1.083970753,-0.574659776,0.696584593,-0.092705264
insensitive,,0.720112007,-0.356384283,0.636836481
insensitive,-0.965443751,1.637711229,0.2864152,0.595307077
insensitive,-1.470225089,1.72014873,1.02328533,0.582875983
