RAI,L10SLA,WSG,MaxH,L10SM
sensitive,0.707447272,0.102871573,0.072026479,-1.891366305
sensitive,1.517384086,0.090924473,-0.441633784,0.393013657
sensitive,-1.215474262,0.556530323,-0.719621265,0.326625116
sensitive,-0.275558081,0.001686794,-0.387023275,-0.728661797
sensitive,,1.148447619,2.486651525,2.300922237
sensitive,-1.11327256,0.831401985,2.066685955,2.123767192
sensitive,1.21241649,1.877010603,1.646269363,1.911928695
sensitive,,1.148447619,-0.228509274,2.72881678
sensitive,,0.316491335,1.375639326,2.54322937
sensitive,,1.452001953,0.265083219,1.712126958
sensitive,1.498722381,1.742561299,2.116015603,1.690372717
sensitive,0.024514292,1.080991469,0.040495186,1.690372717
sensitive,-0.580701152,0.071541616,0.018282825,1.690372717
sensitive,,1.085447324,0.69703244,1.690372717
sensitive,1.225750866,0.804751829,2.239411649,1.506937387
sensitive,-0.429188373,0.810225414,1.515967833,1.506937387
sensitive,,0.810225414,-0.253188483,1.506937387
sensitive,,0.740290744,0.116999655,1.453515634
sensitive,0.217226422,0.090924473,3.349976755,1.413450173
sensitive,0.25265092,1.104172934,1.515967833,1.385360899
sensitive,,1.20940233,1.646269363,1.460228581
sensitive,,2.25677129,1.326280907,1.22846722
sensitive,-1.408432163,1.182175877,-0.277867693,1.227297001
sensitive,-0.584955455,-0.448023266,2.116015603,1.221726203
sensitive,-0.087649589,1.78178938,2.584920584,1.203728305
sensitive,-0.512159417,-0.26139363,0.561868325,1.18843297
sensitive,-0.483335587,-0.023532171,2.116015603,1.082373379
sensitive,-0.663239412,1.877010603,1.515967833,1.077530523
sensitive,,0.090924473,0.774481833,1.047875986
sensitive,,1.966140942,-0.277867693,1.047875986
sensitive,-1.807138908,-0.537038777,1.515967833,1.043433161
sensitive,0.347425569,0.811165023,0.468551751,1.020973205
sensitive,-0.392475478,0.433408516,1.243605556,1.020973205
sensitive,-0.608977735,0.334307496,-0.425909556,1.020973205
sensitive,,0.740290744,1.030130479,1.020973205
sensitive,,0.740290744,0.774481833,1.020973205
sensitive,-0.59059441,-0.540729774,-0.08929049,0.994314259
sensitive,-0.481758064,-0.494158308,-0.561360013,0.979299262
sensitive,-0.203435468,-0.886040996,1.515967833,0.941495682
sensitive,,-0.986648354,1.622431424,0.935077242
sensitive,0.627291566,-0.270327288,0.709300677,0.930966365
sensitive,,-0.694857497,0.141678864,0.930966365
sensitive,0.367095082,0.512989352,1.515967833,0.925163799
sensitive,0.567256269,0.038787879,1.515967833,0.903499528
sensitive,,0.090924473,0.265083219,0.892527397
sensitive,,1.877010603,-0.03107189,0.892527397
sensitive,-0.055847521,-0.13472502,0.265083219,0.922802895
sensitive,-1.215474262,0.462254716,1.028299647,1.711110775
sensitive,-0.394397062,1.20940233,1.646269363,1.34013257
sensitive,,-0.693115345,-0.03107189,1.34013257
sensitive,-0.270408569,-0.58402976,2.116015603,1.260269398
sensitive,0.854314665,0.551371182,1.63477134,1.159912572
sensitive,,0.872179806,-0.085607096,
sensitive,1.960762283,-1.809704056,0.69703244,0.369919708
sensitive,0.214450071,-0.747513321,0.774481833,0.315983552
sensitive,-0.667591058,1.069748343,1.515967833,0.132184147
sensitive,,0.090924473,0.98350665,0.121022897
sensitive,,0.090924473,0.141678864,0.121022897
sensitive,,-1.764020092,0.635350133,0.053842265
sensitive,,-0.133219956,1.582272677,-0.023294209
sensitive,,0.150800917,0.191037283,-0.0459176
sensitive,0.337103538,-0.791455564,0.635350133,-0.065862924
sensitive,-0.035541487,-0.668330443,0.433719725,-0.065862924
sensitive,-0.955586617,-1.149571045,0.141678864,-0.065862924
sensitive,,-0.598863228,0.69703244,-0.065862924
sensitive,,-0.598863228,-0.376584529,-0.065862924
sensitive,,-0.598863228,0.018282825,-0.065862924
sensitive,,0.090924473,-0.228509274,0.646628594
sensitive,,1.851881957,0.561868325,0.646628594
sensitive,0.767234116,1.755556289,-0.919527133,0.622237717
sensitive,,0.491870835,1.128847234,0.622237717
sensitive,-0.388309759,0.943327379,0.443907864,0.622044716
sensitive,0.695250425,-1.029292619,0.265083219,0.616066155
sensitive,-0.195496884,0.066605012,1.254541362,0.569943788
sensitive,0.92121394,-0.470508807,0.69703244,0.55123611
sensitive,,-0.166492945,0.191037283,0.55123611
sensitive,,-0.200645146,0.265083219,0.55123611
sensitive,,1.239935521,-1.087201859,0.538898167
sensitive,,0.743708504,-0.325367591,0.520107517
sensitive,,-0.810094171,0.172817642,0.502101722
sensitive,,0.872179806,-0.475301366,0.490681548
sensitive,0.790515641,0.082588026,-0.715320475,0.408062646
sensitive,,0.090924473,0.511867141,0.370297408
sensitive,-1.082314301,1.249632396,-1.487148336,0.435683775
sensitive,1.950764808,1.553186732,2.116015603,0.432863753
sensitive,,0.593438615,1.769629824,0.418823604
sensitive,,0.980291315,-0.590246323,0.382922374
sensitive,-0.782909063,2.3356843,2.116015603,0.384191468
sensitive,,-0.824655564,0.93141356,0.381659802
sensitive,,0.028409951,-0.78330064,0.365786927
sensitive,0.240447298,0.411239682,0.61058384,0.326625116
sensitive,1.706507828,0.396769979,-0.771451877,0.339942774
sensitive,0.802585586,1.608929731,1.128847234,0.339942774
sensitive,-0.412493395,0.94883967,0.388470957,0.339942774
sensitive,,0.396769979,-1.049092697,0.339942774
sensitive,-1.127933073,-0.897733457,0.166402669,0.316468918
sensitive,0.021788473,0.455902683,1.351015279,0.294302552
sensitive,,-0.259630644,0.45030391,0.294302552
sensitive,-0.152461298,-0.425640285,-0.475301366,0.267588075
sensitive,-0.338671618,-1.026472205,0.166402669,0.229813789
sensitive,0.410267607,-1.205762327,0.758705749,0.21885559
sensitive,,-0.805597049,-0.561678599,0.249919585
sensitive,0.330722095,-0.454598777,1.515967833,0.245782319
sensitive,-0.702533322,2.366260343,1.375639326,0.24075692
sensitive,0.721193428,0.272951423,0.252735306,0.231959757
sensitive,0.540095888,-1.133831274,2.182750371,0.226042445
sensitive,-0.037961113,-1.38901828,1.523719925,0.226042445
sensitive,,1.013534579,1.515967833,0.211031171
sensitive,,-0.794798059,0.160630135,0.198197071
sensitive,,0.069145615,2.116015603,0.196599448
sensitive,,0.090924473,-0.037176079,0.144128799
sensitive,0.445490335,0.406425916,-0.839319613,0.120194801
sensitive,,0.602380625,-0.561678599,0.120194801
sensitive,,0.361454893,1.515967833,0.09844625
sensitive,0.246728473,-1.208121604,0.693306302,0.092341129
sensitive,0.915242948,-1.790134669,1.770506674,-0.003093773
sensitive,,0.053849842,1.515967833,-0.022248333
sensitive,-0.107518457,-1.516061079,0.45030391,-0.032871903
sensitive,-1.310278154,-0.783653194,0.53251152,-0.030314714
sensitive,,0.743708504,-0.228509274,-0.061103448
sensitive,,-0.529533293,-0.283960836,-0.085695495
sensitive,,0.406425916,-0.265528088,-0.121935731
sensitive,,1.966140942,1.41934844,-0.155664473
sensitive,0.809568483,-0.125007794,0.240395701,-0.178144878
sensitive,,-0.125007794,-0.244326685,-0.178144878
sensitive,,2.3356843,-0.216169669,-0.191790912
sensitive,,-0.09337041,-0.968881397,-1.09935347
sensitive,-0.102688583,-0.630537048,0.98350665,-0.376210641
sensitive,0.701624411,0.289409711,-0.203686536,-0.372382148
sensitive,,-0.841519694,0.215716533,-0.374270479
sensitive,,-2.234495628,0.635350133,-0.389377498
sensitive,,-0.785045155,0.651085787,-0.510902143
sensitive,0.447608068,-0.928249505,2.732995834,-0.491334548
sensitive,,1.735375814,-0.228509274,-0.586072425
sensitive,1.356847629,-0.484000143,-0.820488844,-0.825904678
sensitive,-2.515011887,-0.567615325,0.770779952,-0.747550925
sensitive,,0.192975003,1.646269363,-0.792262882
sensitive,0.044506948,-0.929822131,-0.272934301,-0.86299158
sensitive,,-1.050522068,2.609599787,-1.120903916
sensitive,,1.20940233,-1.251350459,-1.10756193
sensitive,,-1.40560861,-1.407573359,-1.107847729
sensitive,,0.001686794,0.45030391,-1.132931843
sensitive,,-0.813347245,-0.746112567,-1.19735882
sensitive,-1.080857211,-0.089792791,0.511867141,-1.891366305
sensitive,,-0.089792791,-0.080434019,-1.891366305
sensitive,,0.090924473,-0.290207297,-2.351167837
sensitive,,-1.25298819,1.190545257,-2.351167837
sensitive,1.92715154,0.181200792,2.524106283,
sensitive,0.62583372,0.406425916,-0.845489436,
sensitive,-0.262808112,1.602809622,1.23133696,
sensitive,-0.310251801,-0.994095527,0.072026479,
sensitive,-0.543392662,0.758880556,1.573073109,
sensitive,-1.595443274,-0.023532171,0.342595671,
sensitive,,-0.029470782,0.265083219,
sensitive,,-0.200645146,2.116015603,
sensitive,,0.360472031,1.646269363,
sensitive,,-0.740054024,-0.054933701,
sensitive,0.012148611,-1.027553381,-0.228509274,0.510235782
sensitive,0.594103783,-1.241761704,0.236373144,0.349999487
sensitive,0.048202453,0.388408003,-0.325318314,0.108711785
sensitive,1.402786839,-0.938207369,0.968432374,-1.008835186
sensitive,-1.255232631,0.541338946,0.774481833,0.042241367
sensitive,0.419390717,-0.157575589,0.279806749,-0.194171928
sensitive,,0.001686794,0.265083219,0.584244446
sensitive,-0.157157753,0.239831444,0.265083219,0.021243416
sensitive,0.511566331,-1.154169819,-0.623716891,-0.450417238
sensitive,-1.702735197,-0.215432394,-0.203686536,-1.891366305
sensitive,0.072830396,1.192294355,0.265083219,0.327957622
sensitive,,1.509339994,1.515967833,1.26281734
sensitive,,0.740290744,0.280897657,1.020973205
sensitive,-0.059663569,0.028409951,1.515967833,0.365786927
sensitive,-0.048336695,-0.82571575,0.280897657,0.266105721
sensitive,0.06423548,-1.809520656,0.585910417,-0.193885708
sensitive,0.272848343,-0.929822131,-0.343376787,-0.481093941
sensitive,-0.041436533,-1.043010025,2.732995834,-0.411812753
sensitive,0.184588667,0.232725372,0.462508584,1.102993027
sensitive,-0.93600505,2.100706811,0.490540705,1.554456296
sensitive,0.418094576,0.728530787,0.265083219,0.292854098
sensitive,-0.539232588,1.735375814,-0.379299237,-0.586072425
sensitive,,0.541338946,-0.329694027,-0.053384549
sensitive,0.55943265,0.542768757,1.03570341,0.052326889
sensitive,-0.242186219,1.750367324,1.080125987,-0.347782422
sensitive,2.731562276,-1.66363771,0.943753164,-0.513270409
sensitive,0.822384606,0.379949687,0.684621467,0.632856374
sensitive,-0.630183886,0.055652009,0.758705749,0.487589768
sensitive,-0.010009914,-0.030355051,0.635350133,0.470245866
sensitive,0.642164142,1.334131953,1.515967833,0.285908496
sensitive,0.499503098,0.462847427,0.356387985,0.318694346
sensitive,0.005395197,0.529286954,0.265083219,-0.531797641
sensitive,0.884752733,-0.604263724,-0.08929049,-0.821098623
sensitive,-0.230602175,-0.855010997,0.754782487,-0.953592839
sensitive,-0.978915631,-1.613070482,1.572127986,-1.220671492
sensitive,1.208448685,-0.740334668,0.635818331,-1.627057691
sensitive,0.360422141,-0.849100788,1.515967833,0.99736463
sensitive,0.327062812,-0.90365282,0.511095524,0.893375517
sensitive,,0.090924473,0.141678864,0.617322175
sensitive,,0.170328401,0.61058384,0.487589768
sensitive,,-0.567615325,0.116999655,-0.747550925
sensitive,-0.1453649,-0.268139276,0.443907864,-1.799837314
sensitive,0.429088532,0.170450503,-0.671648786,0.918435373
sensitive,,-0.810094171,1.646269363,0.502101722
sensitive,,0.294560517,-0.671648786,-0.031000631
sensitive,0.196233427,1.378369817,-0.413603343,-0.372382148
sensitive,,-1.208423,0.61058384,-0.528644555
sensitive,-0.672991872,-1.064119582,0.326772934,-0.531887638
sensitive,-0.768361701,0.313507817,-0.968881397,1.955465018
sensitive,,0.975245585,1.622431424,1.955465018
sensitive,,0.975245585,0.651640654,1.955465018
sensitive,,2.362664984,0.265083219,1.952223782
sensitive,-0.761368063,1.296851982,1.449676954,1.690372717
sensitive,,1.085447324,1.275977387,1.690372717
sensitive,,1.085447324,0.511867141,1.690372717
sensitive,,1.990597586,1.515967833,1.506937387
sensitive,,0.810225414,1.930921534,1.506937387
sensitive,,0.305241781,0.573565371,1.227297001
sensitive,,0.24453031,1.275977387,1.195422434
sensitive,,-0.537038777,0.265083219,1.043433161
sensitive,,0.740290744,-0.42551339,1.020973205
sensitive,,0.740290744,0.265083219,1.020973205
sensitive,,0.740290744,0.072026479,1.020973205
sensitive,,0.740290744,1.080125987,1.020973205
sensitive,,0.811165023,-0.343376787,1.01105457
sensitive,-0.412508487,-0.598863228,-0.475301366,0.992494456
sensitive,,0.102931949,-0.746112567,1.032704357
sensitive,,-1.186497672,1.515967833,0.978723625
sensitive,,0.878697906,,0.961124213
sensitive,,1.755556289,0.7709987,0.934580232
sensitive,-0.163244206,-0.817213382,0.635350133,0.892527397
sensitive,,-0.470508807,0.018282825,0.936994655
sensitive,,0.380005436,-0.524659785,0.936994655
sensitive,,-0.390215797,1.646269363,0.922802895
sensitive,,-0.390215797,-0.474191644,0.922802895
sensitive,-0.682557468,1.175430225,1.776676476,0.889703569
sensitive,-0.295438621,0.161911497,1.412695509,1.701343718
sensitive,,0.912349801,-0.018734327,1.517496857
sensitive,,0.262887569,-0.715320475,
sensitive,,-0.416471101,0.265083219,
sensitive,,-0.225207724,-0.277867693,0.217096515
sensitive,,-0.598863228,0.215716533,-0.065862924
sensitive,-0.685257213,1.111544935,1.622431424,0.608467849
sensitive,-2.028151788,-1.751102021,1.515967833,0.622237717
sensitive,-1.534141328,-0.24115426,1.646269363,0.616066155
sensitive,,-0.24115426,0.659942264,0.616066155
sensitive,,0.474444611,-0.475301366,0.584338271
sensitive,,0.029596954,-0.715320475,0.577988782
sensitive,,-0.166492945,0.585910417,0.55123611
sensitive,,1.239935521,1.646269363,0.538898167
sensitive,,2.37278691,0.511867141,0.533347532
sensitive,,-0.798753361,-1.215677643,0.500604069
sensitive,-0.168318254,0.082634617,1.515967833,0.476143875
sensitive,-0.461311678,-1.150697485,0.69703244,0.46895529
sensitive,,-0.804418608,0.265083219,0.438984898
sensitive,,0.276999669,-1.369922701,0.428592515
sensitive,0.071186631,0.386188952,-0.047567893,0.379149291
sensitive,0.709014138,0.03543302,2.116015603,0.376305755
sensitive,,0.556530323,0.465991719,0.326625116
sensitive,,-0.228531665,0.018282825,0.331006271
sensitive,,1.289931691,3.549711547,0.312731747
sensitive,0.950133442,-1.208423,1.548393817,0.16689207
sensitive,,2.362664984,0.141678864,0.246417629
sensitive,,3.17888884,0.61058384,0.233847355
sensitive,,0.276999669,0.314433329,0.22934269
sensitive,,0.170328401,1.214279363,0.215882645
sensitive,,0.474444611,-0.78330064,0.196599448
sensitive,1.037306402,0.145185206,-0.715320475,0.05201465
sensitive,,-0.063417552,,0.007191488
sensitive,,0.294560517,0.018282825,-0.031000631
sensitive,,1.479228403,-0.538973726,-0.031000631
sensitive,,0.041865212,1.515967833,-0.04633158
sensitive,0.388300928,-0.4871298,-0.524659785,-0.048705268
sensitive,0.668014383,-0.530545127,1.992619557,-0.110086418
sensitive,0.19769255,0.878697906,0.93141356,-0.125596417
sensitive,1.194986886,0.299680039,1.646269363,-0.761907196
sensitive,,-0.949450124,-0.203686536,-1.071596696
sensitive,,0.743708504,0.265083219,-0.412705786
sensitive,,-1.6557193,-0.756629325,-0.430592749
sensitive,-1.080857211,-0.609503266,0.462508584,-0.448082871
sensitive,,-0.385251294,0.061471434,-0.529161586
sensitive,,1.610311893,-0.735696751,-0.599813444
sensitive,1.414140296,-1.583541403,1.930921534,-0.623330918
sensitive,,-0.186709624,1.646269363,-0.70754077
sensitive,,0.969687842,,-0.86299158
sensitive,,-0.089792791,0.659942264,-1.891366305
sensitive,,0.090924473,0.53251152,-2.07621088
sensitive,,-1.605221751,1.646269363,
sensitive,,0.249911451,-0.387023275,
sensitive,,1.434257377,1.428799463,
sensitive,,-2.013205283,0.919073955,
Rare,1.000333513,0.305241781,0.675096851,0.417255561
Rare,0.415025403,-1.027553381,0.458398934,0.196599448
Rare,0.341823821,0.090924473,0.265083219,0.182733822
Rare,2.048521695,-0.425662426,0.15968544,-1.354380738
Rare,1.465836873,0.001686794,-0.343376787,0.573854145
Rare,,-0.810094171,-0.343376787,0.502101722
Rare,,-0.618249326,0.474848202,0.46895529
Rare,,0.556530323,0.092320446,0.326625116
Rare,,0.556530323,-0.438282553,0.326625116
Rare,,-0.908813955,0.265083219,0.307464796
Rare,,-0.794798059,0.314433329,0.198197071
Rare,0.036212918,0.365951997,0.265083219,0.108626321
Rare,,1.445256301,0.561868325,0.087333352
Rare,-1.660846513,0.088199696,-0.574018121,0.026048227
Rare,,1.336268536,-0.778852287,0.010147077
Rare,,-1.135245574,-0.462961755,-0.032871903
Rare,-1.260977513,0.836461217,0.511867141,-0.110242534
Rare,-2.373607484,0.193409813,0.774481833,-0.132946791
Rare,-0.544549557,3.446358036,0.043037981,-0.42875732
Rare,,-1.027553381,-0.817848791,-0.46838374
Rare,-1.231268464,1.553186732,-0.240848879,-0.470532783
Rare,,-0.186709624,-0.739368839,-0.70754077
Rare,,-0.567615325,0.086150644,-0.747550925
Rare,1.364531683,-0.997728472,0.141678864,-0.750952688
Rare,,-0.997728472,-0.671648786,-0.750952688
Rare,-0.514655367,0.332229857,-0.259358286,0.069818782
Rare,0.76145613,-1.484042991,1.738917286,-1.785713641
Rare,-0.188931067,-0.798753361,-0.429398037,0.500604069
Rare,,0.975245585,-0.673968895,1.955465018
Rare,,1.083534578,-0.715320475,1.694724788
Rare,,1.238389641,0.774481833,1.6584972
Rare,,-0.268139276,-0.52624913,1.587000821
Rare,0.798817283,1.114776733,1.515967833,1.580036299
Rare,-1.074747525,1.442258237,-0.343376787,1.334522522
Rare,,0.573300486,1.515967833,1.296865979
Rare,,-0.470508807,1.646269363,1.310838988
Rare,,-0.96968708,0.774481833,1.265056366
Rare,,0.480628276,-0.03107189,1.242950364
Rare,,-1.087727398,0.684621467,1.227532328
Rare,1.207213583,-1.626790408,0.585910417,1.091238992
Rare,-0.341145489,0.740290744,0.419319974,1.020973205
Rare,-0.514655367,0.973489229,-0.931719299,1.020973205
Rare,-0.243406197,0.741211249,-0.715320475,0.987348443
Rare,-3.072987309,0.499178622,0.116999655,0.951493385
Rare,,0.912349801,0.160630135,0.951493385
Rare,0.294753822,-0.890088388,0.12933926,0.922802895
Rare,,-0.390215797,-0.343376787,0.922802895
Rare,,-0.390215797,-0.516268854,0.922802895
Rare,,0.543587495,-0.08929049,1.177560881
Rare,-1.514871169,-1.047262077,-0.648054198,1.103143474
Rare,,0.136599832,1.029467665,0.946917276
Rare,,1.111544935,0.018282825,0.608467849
Rare,1.05540415,-0.921429725,0.733979886,0.605725716
Rare,0.592115099,1.211407033,0.919073955,0.593042352
Rare,-0.749219563,0.872179806,1.515967833,0.58819947
Rare,-1.15484965,0.368200545,0.389713284,0.577988782
Rare,0.58856639,0.038787879,0.249527199,0.55123611
Rare,,1.974789976,0.774481833,0.530126668
Rare,1.224102797,-1.744562701,-0.561360013,0.493583389
Rare,,-1.230550958,-1.770959851,0.398304407
Rare,-1.798402753,0.386188952,-0.054933701,0.401581601
Rare,-0.137837369,-1.148438209,0.024452621,0.400368671
Rare,,0.090924473,-0.674709377,0.389128101
Rare,,0.090924473,0.795677909,0.389128101
Rare,,-1.11134577,-0.4461799,0.377367402
Rare,,0.028409951,-0.085369861,0.365786927
Rare,-2.134196363,-0.043988565,-0.364227249,0.337352466
Rare,,-0.583223401,-0.816668148,0.326625116
Rare,,0.238205423,-0.082901284,0.353834622
Rare,,-1.057323061,0.774481833,0.321809151
Rare,,1.598157747,0.339112544,0.312734881
Rare,0.611080146,-1.0870031,0.419319974,0.307024751
Rare,,-0.696758254,-0.074264216,0.307024751
Rare,,0.546549357,-0.48517305,0.302752681
Rare,,1.409841629,-0.228509274,0.293616565
Rare,-1.49758815,-0.128729121,1.646269363,0.276465464
Rare,,-0.246358114,-0.48961615,0.249919585
Rare,0.472123944,0.032391722,-0.986160859,0.241132512
Rare,0.910810292,0.048906412,0.141678864,0.22934269
Rare,0.016154897,-0.214174067,-0.660390244,0.104099595
Rare,,0.306271357,1.646269363,0.125859089
Rare,,0.602380625,-0.820488844,0.120194801
Rare,-1.279938147,0.2807889,-0.715320475,0.119227286
Rare,-0.667633381,-1.027553381,-0.70558875,0.077646807
Rare,-0.981899933,0.086007443,-0.444452355,0.069748076
Rare,,0.100772396,-1.087201859,0.010147077
Rare,-0.212895162,-1.450874015,-0.343376787,0.006933929
Rare,1.032018753,-0.507609754,-0.870168714,-0.002268381
Rare,,-1.199039244,0.511867141,-0.003093773
Rare,,-1.070871101,-0.277867693,-0.003093773
Rare,-1.181151362,-0.537771098,-0.963949679,-0.011206196
Rare,-0.229609799,-0.385137387,0.191037283,-0.022248333
Rare,-0.533006368,1.484605935,0.265083219,-0.030314714
Rare,-0.560806679,-0.425662426,0.511867141,-0.04633158
Rare,,1.20940233,0.271042427,-0.082142418
Rare,0.589555782,-0.391459183,0.034105556,-0.091078254
Rare,0.436392477,-0.74876698,0.265083219,-0.121632922
Rare,,0.614838668,1.646269363,-0.130152095
Rare,-0.670765868,0.133227006,0.511867141,-0.159742815
Rare,,-0.125007794,-0.968881397,-0.178144878
Rare,-1.00165149,0.873481055,0.265083219,-0.196182352
Rare,-0.212293823,1.20940233,0.092320446,-0.208043206
Rare,0.951353276,-0.844410685,1.515967833,-0.230601302
Rare,-0.279479334,0.229929296,0.265083219,-0.231675531
Rare,,-3.033853089,-0.771451877,-0.39707244
Rare,,0.565906381,-0.228509274,-0.39707244
Rare,,3.446358036,-0.37905245,-0.577304191
