SEA,L10SLA,WSG,MaxH,L10SM
Rare,,1.052631119,0.180331649,2.169573259
Rare,,-1.431016841,-1.635017096,1.680375627
Rare,,-0.546884777,0.828918645,1.354682206
Rare,,0.584507812,-0.986678681,1.114880299
Rare,,0.584507812,-0.027136846,1.114880299
Rare,,0.584507812,-0.842117251,1.114880299
Rare,,1.062557072,-0.571741671,1.067664933
Rare,,-1.263111965,0.180331649,1.02644315
Rare,,0.35144108,1.036139673,1.022334871
Rare,,-0.425286855,-0.519874548,0.948340668
Rare,,-0.829912892,-0.014170073,0.416228148
Rare,,-0.635612371,1.333065601,-0.094432553
Rare,,1.432697647,1.565190494,0.64818338
Rare,,-0.516510961,0.10253096,0.53574044
Rare,,-0.462410737,-0.865498539,0.561585844
Rare,,-1.005890974,0.309999464,0.538043637
Rare,,-0.829912892,-1.168461579,0.535849129
Rare,,-0.468065264,0.232198775,0.513972037
Rare,,-0.196562154,-1.764685567,0.467849725
Rare,,1.085290695,0.152290727,0.407847783
Rare,,0.512394511,0.252220361,0.381269998
Rare,,0.512394511,-0.349930083,0.381269998
Rare,,1.297962839,-0.017784845,0.218258086
Rare,,0.564159234,-0.745662489,0.21304581
Rare,,0.08964114,0.958338539,0.21304581
Rare,,1.499508293,0.175160789,0.21304581
Rare,,-0.826003306,-0.014170073,0.199350725
Rare,,-0.037136028,-1.504668172,0.184268187
Rare,,0.096484704,0.463496848,0.133138404
Rare,,0.504946873,1.464043012,0.112952657
Rare,,0.104987875,0.569335092,0.046480551
Rare,,-0.207983339,-0.986678681,0.048703529
Rare,,-0.620839381,0.893504628,0.039044048
Rare,,0.43383727,0.634169,0.000905423
Rare,,-0.983683181,0.634169,-0.024631361
Rare,,-1.110712497,1.610086426,-0.094257768
Rare,,-0.745329421,0.958338539,-0.411271897
Rare,,1.233114924,-0.909931671,-0.421192061
Rare,,-0.927612831,-1.128921342,-0.550426076
Rare,,-0.927612831,-0.909931671,-0.550426076
Rare,,-9.74896E-05,-0.72721909,-0.5241243
Rare,,-0.002854784,-1.025579025,-0.690627865
Rare,,0.484054043,-1.504668172,-0.749275139
Rare,,0.572449046,-0.818110496,-0.81794535
Rare,,-1.515880377,0.64246774,-0.847672159
Rare,,-1.026982814,-0.909931671,-0.856797601
Rare,,-0.731916435,-0.416140297,-1.342621018
Rare,,-1.431016841,,-2.015536238
Rare,,-1.431016841,-0.322188105,-2.015536238
Rare,,-0.513309685,0.105439799,-2.015536238
Rare,,0.174903104,,-1.712879589
Rare,,-0.835480357,-0.72721909,-2.014174777
Rare,,-0.126945039,-0.986678681,-2.068046378
Rare,,-0.797059021,0.958338539,-2.356844182
Rare,,-0.411276214,-0.793609679,-2.792484088
Rare,,-3.224004458,-0.490545528,-5.406660843
Rare,,-2.990272388,-0.338184662,-5.406660843
Rare,,-3.016891441,0.939018032,-5.406660843
Rare,,-3.044951924,-0.857010866,
Rare,,,,
Rare,,-1.740572473,0.076597398,
Rare,,0.584507812,-0.039828366,1.103368952
Rare,,-1.266452497,0.634169,1.088563323
Rare,,0.497348586,-0.018060107,0.01834384
Rare,,1.299126202,1.610086426,-1.116564567
Rare,,-0.64749887,1.501638098,-0.447728269
Rare,,3.43945729,-0.055177329,-0.803641138
Rare,,1.46610297,1.610086426,-0.918858471
Rare,,1.098644983,-0.72721909,-1.141236213
Rare,,-1.431016841,-1.155156971,-2.015536238
Rare,,-1.680677218,-0.299439259,-1.953238618
Rare,,0.484054043,0.958338539,0.68397771
Rare,,0.512394511,0.569335092,0.381269998
Rare,,-2.540953932,0.359759727,-0.95704819
Rare,,-2.990272388,1.690188675,-5.406660843
Rare,,1.098644983,2.644020123,2.614511093
Rare,,0.989465126,0.569335092,2.154872343
Rare,,0.989465126,1.08800635,2.154872343
Rare,,0.989465126,0.348899808,2.154872343
Rare,,1.098644983,0.463496848,2.050611241
Rare,,2.771350819,1.08800635,1.988987246
Rare,,-0.981839141,,1.982449545
Rare,,-0.981839141,-0.350813343,1.982449545
Rare,,-0.981839141,-0.493940986,1.982449545
Rare,,0.274647193,1.480309365,1.944294272
Rare,,0.374666094,1.913867868,1.998146732
Rare,,1.399301102,0.309999464,2.363212704
Rare,,1.052631119,0.309999464,2.169573259
Rare,,1.052631119,-0.363520291,2.169573259
Rare,,1.098644983,1.610086426,2.142180044
Rare,,0.597564558,0.854604364,2.125188535
Rare,,1.036931093,1.188579564,2.125188535
Rare,,1.031833763,1.139876788,1.824274055
Rare,,0.484054043,0.958338539,1.796576151
Rare,,-0.968477011,1.412175894,1.783989171
Rare,,-2.081542385,0.593161296,1.7626893
Rare,,0.374666094,-1.045158865,1.7448938
Rare,,0.08179312,-0.909931671,1.730527205
Rare,,0.763660563,-0.72721909,1.655633543
Rare,,0.763660563,-0.027136846,1.655633543
Rare,,0.763660563,0.204157853,1.655633543
Rare,,0.584507812,0.154398087,1.596183265
Rare,,0.840138597,1.159907497,1.569182129
Rare,,0.840138597,-0.519874548,1.569182129
Rare,,-1.44016018,-0.429107079,1.528256342
Rare,,0.08179312,-0.986678681,1.526211971
Rare,,0.800024717,0.958338539,1.508449855
